trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.999000499833375}",20,0,-89.31062034120318,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.9980019986673331}",20,0,-101.69337094280802,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.997004495503373}",20,0,-129.41075769151786,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.9960079893439915}",25,0,-49.64368660635455,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.9950124791926823}",25,0,-78.18280031033159,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.9940179640539353}",30,0,-131.27741007819716,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.9930244429332351}",25,7,-15.939598992779288,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.1, 'e': 0.9920319148370607}",25,0,-142.19565417169542,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.9910403787728838}",20,0,-33.29203271784057,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.9900498337491682}",20,9,-50.8990208315092,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.1, 'e': 0.9890602787753688}",35,0,-198.42554833282568,"{0: 20, 1: 1, 2: 8, 3: 5, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.9880717128619307}",20,0,-169.59465804002693,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.9870841350202878}",20,0,-65.93059815884585,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.9860975442628621}",35,0,-212.68865877051473,"{0: 21, 1: 4, 2: 5, 3: 2, 4: 3}",0
15,False,"{'a': 0.1, 'e': 0.9851119396030629}",20,0,-122.07875890102898,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.9841273200552854}",30,0,-190.78369283303994,"{0: 14, 1: 3, 2: 9, 3: 3, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.9831436846349099}",25,0,-68.74410043956529,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.982161032358301}",30,0,-212.1036754893324,"{0: 13, 1: 5, 2: 8, 3: 2, 4: 2}",0
19,False,"{'a': 0.1, 'e': 0.9811793622428063}",25,0,-145.53745378742212,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.1, 'e': 0.9801986733067557}",30,0,-183.6178402489576,"{0: 15, 1: 2, 2: 9, 3: 3, 4: 1}",0
21,False,"{'a': 0.1, 'e': 0.97921896456946}",20,0,-25.72891591893674,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.1, 'e': 0.9782402350512105}",25,0,-214.3094830505152,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
23,False,"{'a': 0.1, 'e': 0.9772624837732775}",20,0,-80.20514957983309,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.1, 'e': 0.9762857097579097}",25,0,-115.07080199516287,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
25,False,"{'a': 0.1, 'e': 0.9753099120283332}",20,0,-126.97762808813465,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
26,False,"{'a': 0.1, 'e': 0.9743350896087498}",25,8,-101.16133086572326,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 1}",1
27,False,"{'a': 0.1, 'e': 0.9733612415243373}",25,0,-196.8572822904926,"{0: 13, 1: 6, 2: 2, 3: 0, 4: 4}",0
28,False,"{'a': 0.1, 'e': 0.9723883668012475}",25,0,-171.11284730326028,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
29,False,"{'a': 0.1, 'e': 0.9714164644666055}",20,0,-96.97581950403733,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.1, 'e': 0.9704455335485088}",20,0,-81.35890437938833,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.1, 'e': 0.9694755730760266}",25,0,-121.60862235724656,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
32,False,"{'a': 0.1, 'e': 0.9685065820791983}",25,0,-158.29436176353659,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
33,False,"{'a': 0.1, 'e': 0.9675385595890327}",25,0,-217.58942982704974,"{0: 14, 1: 3, 2: 2, 3: 2, 4: 4}",0
34,False,"{'a': 0.1, 'e': 0.9665715046375073}",20,0,-113.61396600949857,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
35,False,"{'a': 0.1, 'e': 0.9656054162575671}",25,0,-1.9577464143115701,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
36,False,"{'a': 0.1, 'e': 0.9646402934831237}",20,0,-67.27837922116646,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
37,False,"{'a': 0.1, 'e': 0.9636761353490542}",20,0,-51.4050688236456,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
38,False,"{'a': 0.1, 'e': 0.9627129408912003}",20,0,-127.5267025907549,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
